task,name,input_count,reference_count,resolution,input_source,same_domain,pairing,degradation_profile,year_venue,citation_key,source_title,source_url,selected_evaluation
low-light,ACDC-Night,"1,006","1,006",1920×1080,Real,Yes,Scene-level paired,Outdoor nighttime driving,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
low-light,PNLI,"2,000","2,000",6720×4480,Real,Yes,Real paired,Multi-level illumination; Varied real-world,KBS 2022,fu2022legan,LE-GAN: Unsupervised low-light image enhancement network using attention module and identity invariant loss,,no
low-light,BAID,"3,000","3,000",mixed,Real,Yes,Real paired,Backlit/HDR,CVIU 2022,lv2022backlitnet,BacklitNet: A dataset and network for backlit image enhancement,,no
low-light,UHD-LL,"2,150","2,150",3840×2160,Real,Yes,Real paired,Global dim; Varied real-world,ICLR 2023,li2023embedding,Embedding Fourier for ultra-high-definition low-light image enhancement,,no
low-light,LSRW,"5,650","5,650",960×720,Real,Yes,Real paired,Global dim; Varied real-world,JVCIR 2023,hai2023r2rnet,R2rnet: Low-light image enhancement via real-low to real-normal network,https://github.com/JianghaiSCU/R2RNet,yes
low-light,DID,"41,038 frames","41,038 frames",mixed,Real,Yes,Real paired,Multi-level illumination; Dynamic,ICCV 2023,fu2023dancing,Dancing in the dark: A benchmark towards general low-light video enhancement,,no
low-light,NTIRE 2024 LLIE,300,230,mixed,Real,Yes,Real paired,Non-uniform/local; Extreme; Backlit/HDR,CVPRW 2024,liu2024ntirellie,NTIRE 2024 challenge on low light image enhancement: Methods and results,,no
low-light,BVI-RLV,"31,800 frames","31,800 frames",1920×1080,Real,Yes,Real paired,Multi-level illumination; Dynamic,arXiv 2024,lin2024bvirlv,BVI-RLV: A fully registered dataset and benchmarks for low-light video enhancement,https://arxiv.org/abs/2407.03535,no
low-light,NTIRE 2025 LLIE,295,219,mixed,Real,Yes,Real paired,Non-uniform/local; Extreme; Backlit/HDR,CVPRW 2025,liu2025ntirellie,NTIRE 2025 challenge on low light image enhancement: Methods and results,,no
low-light,LSD-Paired,"6,425","6,425",mixed,Real,Yes,Real paired,Extreme/photon-limited; Varied real-world,WACV 2026,sharif2026illuminating,Illuminating darkness: Learning to enhance low-light images in-the-wild,,no
low-light,LENVIZ,"210,606","24,082",mixed,Real,Yes,Real paired,Multi-exposure; Multi-level illumination,WACV 2026,aithal2026lenviz,LENVIZ: A high-resolution low-exposure night vision benchmark dataset,,no
low-light,DarkDriving,"9,538","9,538",2448×2048,Real,Yes,Real paired,Night driving; Complex illumination,ICRA 2026,wang2026darkdriving,DarkDriving: A real-world day and night aligned dataset for autonomous driving in the dark environment,,no
low-light,MILL,"1,000",100,mixed,Real,Yes,Real paired,Multi-level illumination; Controlled indoor,CVPR Findings 2026,pilligua2026evaluating,Evaluating low-light image enhancement across multiple intensity levels,,no
low-light,NTIRE 2026 E-LLIE,500,398,4032×3024,Real,Yes,Real paired,Extreme; Backlit/HDR; Non-uniform/local,CVPRW 2026,yan2026efficientllie,Efficient low light image enhancement: NTIRE 2026 challenge report,,no
low-light,NPE,85,0,mixed,Real,N/A,Real unpaired,Non-uniform/local,TIP 2013,wang2013naturalness,Naturalness preserved enhancement algorithm for non-uniform illumination images,,no
low-light,DICM,69,0,mixed,Real,N/A,Real unpaired,Non-uniform/local,TIP 2013,lee2013contrast,Contrast enhancement based on layered difference representation of 2D histograms,,no
low-light,MEF,17,0,mixed,Real,N/A,Real unpaired,Multi-exposure illumination,TIP 2015,ma2015perceptual,Perceptual quality assessment for multi-exposure image fusion,,no
low-light,LIME,10,0,mixed,Real,N/A,Real unpaired,Non-uniform/local,TIP 2017,guo2016lime,LIME: Low-light image enhancement via illumination map estimation,,no
low-light,VV,24,0,mixed,Real,N/A,Real unpaired,Mixed exposure,MTAP 2018,vonikakis2018evaluation,On the evaluation of illumination compensation algorithms,,no
low-light,NightOwls,"279,000 frames",0,1024×640,Real,N/A,Real unpaired,Night driving; Complex illumination,ACCV 2018,neumann2018nightowls,NightOwls: A pedestrians at night dataset,,no
